UF,MUNICIPIO,REDE,2005,2007,2009,2011,2013,2015,2017,2019
AM,Beruri,Municipal,-,-,2.4,4.0,3.4,3.1,3.0,3.0
AM,Beruri,Pública,2.5,2.7,3.0,4.9,4.1,3.6,3.4,3.6
AM,Boa Vista do Ramos,Estadual,2.8,3.5,3.7,3.8,4.1,3.7,3.3,3.6
AM,Boa Vista do Ramos,Pública,2.7,3.5,3.5,3.8,4.0,3.9,3.6,3.9
AM,Boca do Acre,Estadual,2.9,3.2,3.6,3.9,4.3,4.2,4.4,4.5
AM,Boca do Acre,Municipal,3.8,4.5,4.6,5.2,4.7,5.2,4.9,5.3
AM,Boca do Acre,Pública,3.1,3.5,3.8,4.1,4.3,4.5,4.6,4.7
AM,Borba,Estadual,2.5,3.8,3.3,4.0,3.9,3.7,4.3,4.0
AM,Borba,Municipal,-,-,4.0,3.9,3.8,3.6,3.7,3.7
AM,Borba,Pública,2.5,3.7,3.4,3.8,3.8,3.6,4.0,3.8
AM,Caapiranga,Estadual,3.0,3.2,3.5,4.0,3.8,4.1,4.6,4.5
AM,Caapiranga,Municipal,-,-,-,-,-,3.0,3.1,3.8
AM,Caapiranga,Pública,2.9,3.0,3.3,3.5,3.4,3.6,3.9,4.1
AM,Canutama,Estadual,3.3,3.7,3.8,3.4,3.0,3.5,4.4,4.4
AM,Canutama,Municipal,-,-,-,-,-,-,-,-
AM,Canutama,Pública,3.2,3.7,3.6,3.4,2.9,3.3,4.0,3.8
AM,Carauari,Estadual,2.5,3.3,3.1,4.2,5.0,4.2,4.9,4.2
AM,Carauari,Municipal,-,-,-,-,-,-,-,-
AM,Carauari,Pública,2.5,3.3,3.1,4.2,5.0,4.2,4.7,4.2
AM,Careiro,Estadual,2.9,3.8,3.6,4.1,3.5,4.4,4.8,4.2
AM,Careiro,Municipal,-,-,-,3.2,3.7,3.6,3.9,3.8
AM,Careiro,Pública,2.9,3.8,3.7,3.9,3.6,3.9,4.2,4.0
AM,Careiro da Várzea,Estadual,3.2,4.2,4.6,-,4.6,4.5,4.7,4.5
AM,Careiro da Várzea,Municipal,-,3.0,3.1,3.5,3.4,3.8,3.9,3.3
AM,Careiro da Várzea,Pública,3.1,3.7,3.7,-,3.9,4.2,4.3,4.1
AM,Coari,Estadual,2.4,2.7,3.1,3.4,3.7,3.8,4.3,4.1
AM,Coari,Municipal,2.8,2.9,3.0,3.0,3.0,3.1,3.0,3.4
