ano,id_municipio,PT,OUTRO
2002,2304608,878,402
2002,2305332,2252,545
2002,2306207,1653,212
2002,2307106,4403,2010
2002,2307601,12664,2212
2002,2307650,46114,2977
2002,2307700,19694,2713
2002,2308302,4538,2314
2002,2310704,6273,1561
2002,2313906,1163,1181
2002,2313955,921,958
2002,1100072,1954,666
2002,1100080,1663,824
2002,1100205,80181,22351
2002,1100338,1744,962
2002,1101104,870,448
2002,1101450,786,594
2002,2100402,1178,131
2002,2100477,3386,1868
2002,2100550,731,381
2002,2100709,6220,352
2002,2101251,1658,379
2002,2102077,1564,583
2002,2104552,1259,666
2002,2105476,484,1108
2002,2107803,4801,1945
2002,2108009,1715,587
2002,2109270,978,235
2002,2109601,5782,844
2002,2109700,531,275
2002,2111102,2024,922
2002,2113009,3777,1728
2002,2500601,3697,2079
2002,2503803,1325,622
2002,2504850,262,201
2002,2505006,719,1793
2002,2507804,821,1530
2002,2508109,1153,538
2002,2510303,914,856
2002,2510907,1382,2360
2002,2511608,2503,477
2002,2511905,1734,1349
2002,2512309,2984,3615
2002,2512606,286,658
2002,2513208,2111,760
2002,2513653,695,462
2002,2513901,4575,6070
2002,2513968,470,726
2002,2514602,823,762
2002,2516706,2046,2547
2002,2800605,4443,1576
2002,2802809,1712,748
2002,2805000,534,180
2002,2805406,3331,2423
2002,2806107,1596,371
2002,2806800,1354,626
2002,2201606,1680,2441
2002,2202554,851,765
2002,2204006,1859,710
2002,2205516,1220,766
2002,2205953,893,965
2002,2206407,2284,638
2002,2207751,879,687
2002,2208874,535,478
2002,1400100,48209,11543
2002,1400209,2959,1040
2002,1400308,2580,709
2002,1500347,1651,1167
2002,1501709,9778,15001
2002,1502400,22072,17398
2002,1502509,939,1980
2002,1503044,1961,1754
2002,1503507,5044,3775
2002,1503903,5044,3438
2002,1504406,3942,3833
2002,1505031,2363,1660
2002,1505064,5725,5612
2002,1505494,628,1494
2002,1506583,931,1289
2002,2403004,1793,1297
2002,2404002,1030,686
2002,2406700,2047,1955
2002,2408953,1335,1779
2002,2410207,688,1681
2002,2410306,906,1933
2002,2412005,13396,8080
2002,2412104,1679,1133
2002,2412906,1855,1251
2002,2600708,6544,4178
2002,2602407,2851,1305
2002,2603504,3168,2658
2002,2605608,4078,2572
2002,2606606,2955,4297
2002,2606903,2067,1894
2002,2607802,3159,757
2002,2607901,124930,44135
2002,2608404,966,3059
2002,2609154,685,3294
2002,2615201,1531,1963
2002,5204953,1123,1253
2002,5206909,552,388
2002,5209291,682,332
2002,5209408,626,1245
2002,5211701,1850,1186
2002,5213707,1418,1432
2002,5214507,4745,3253
2002,5215256,744,620
2002,5217104,6975,3826
2002,1700707,1590,1294
2002,1702307,1348,1081
2002,1703008,762,2323
2002,1703800,1270,1271
2002,1704105,467,279
2002,1709005,1028,1977
2002,1709807,278,395
