"Produto/Unidade","Mês/Ano","Preço Médio"
"CAFÉ MOÍDO E TORRADO (500 g)","03/2019",9.65
"CAFÉ MOÍDO E TORRADO (500 g)","04/2019",9.5
"CAFÉ MOÍDO E TORRADO (500 g)","05/2019",9.34
"CAFÉ MOÍDO E TORRADO (500 g)","06/2019",9.21
"CAFÉ MOÍDO E TORRADO (500 g)","07/2019",8.98
"CAFÉ MOÍDO E TORRADO (500 g)","08/2019",9.66
"CAFÉ MOÍDO E TORRADO (500 g)","09/2019",9.58
"CAFÉ MOÍDO E TORRADO (500 g)","10/2019",9.44
"CAFÉ MOÍDO E TORRADO (500 g)","11/2019",8.77
"CAFÉ MOÍDO E TORRADO (500 g)","12/2019",9.36
"CAFÉ MOÍDO E TORRADO (500 g)","01/2020",9.48
"CAFÉ MOÍDO E TORRADO (500 g)","02/2020",9.07
"CAFÉ MOÍDO E TORRADO (500 g)","03/2020",9.16
"CAFÉ MOÍDO E TORRADO (500 g)","04/2020",9.56
"CAFÉ MOÍDO E TORRADO (500 g)","05/2020",11.21
"CAFÉ MOÍDO E TORRADO (500 g)","06/2020",10.73
"CAFÉ MOÍDO E TORRADO (500 g)","07/2020",9.09
"CAFÉ MOÍDO E TORRADO (500 g)","08/2020",9.62
"CAFÉ MOÍDO E TORRADO (500 g)","09/2020",9.42
"CAFÉ MOÍDO E TORRADO (500 g)","10/2020",9.46
"CAFÉ MOÍDO E TORRADO (500 g)","11/2020",9.29
"CAFÉ MOÍDO E TORRADO (500 g)","12/2020",9.24
"CAFÉ MOÍDO E TORRADO (500 g)","01/2021",9.08
"CAFÉ MOÍDO E TORRADO (500 g)","02/2021",9.3
"CAFÉ MOÍDO E TORRADO (500 g)","03/2021",9.44
"CAFÉ MOÍDO E TORRADO (500 g)","04/2021",10.15
"CAFÉ MOÍDO E TORRADO (500 g)","05/2021",9.99
"CAFÉ MOÍDO E TORRADO (500 g)","06/2021",10.25
"CAFÉ MOÍDO E TORRADO (500 g)","07/2021",10.63
"CAFÉ MOÍDO E TORRADO (500 g)","08/2021",12.31
"CAFÉ MOÍDO E TORRADO (500 g)","09/2021",12.8
"CAFÉ MOÍDO E TORRADO (500 g)","10/2021",13.03
"CAFÉ MOÍDO E TORRADO (500 g)","11/2021",14.36
"CAFÉ MOÍDO E TORRADO (500 g)","12/2021",15.92
"CAFÉ MOÍDO E TORRADO (500 g)","01/2022",17.21
"CAFÉ MOÍDO E TORRADO (500 g)","02/2022",16.38
"CAFÉ MOÍDO E TORRADO (500 g)","03/2022",16.72
"CAFÉ MOÍDO E TORRADO (500 g)","04/2022",17.01
"CAFÉ MOÍDO E TORRADO (500 g)","05/2022",16.69
"CAFÉ MOÍDO E TORRADO (500 g)","06/2022",16.08
"CAFÉ MOÍDO E TORRADO (500 g)","07/2022",16.29
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","01/2018",18.1
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","02/2018",15.54
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","03/2018",14.97
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","04/2018",11.98
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","05/2018",12.87
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","06/2018",13.14
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","07/2018",14.14
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","08/2018",13.96
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","09/2018",14.27
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","10/2018",13.99
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","11/2018",13.69
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","12/2018",14.9
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","01/2019",15.38
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","02/2019",15.14
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","03/2019",14.97
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","04/2019",14.18
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","05/2019",14.88
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","06/2019",14.99
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","07/2019",15.52
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","08/2019",16.45
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","09/2019",16.7
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","10/2019",15.03
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","11/2019",15.47
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","12/2019",17.01
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","01/2020",17.86
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","02/2020",18.15
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","03/2020",19.79
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","04/2020",19.05
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","05/2020",17.85
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","06/2020",17.44
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","07/2020",17.95
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","08/2020",21.57
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","09/2020",22.91
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","10/2020",20.83
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","11/2020",22.32
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","12/2020",21.97
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","01/2021",21.66
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","02/2021",23.46
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","03/2021",23.62
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","04/2021",24.34
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","05/2021",26.43
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","06/2021",27.14
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","07/2021",26.17
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","08/2021",22.81
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","09/2021",22.9
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","10/2021",22.06
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","11/2021",20.54
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","12/2021",18.65
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","01/2022",20.8
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","02/2022",22.92
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","03/2022",21.9
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","04/2022",22.05
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","05/2022",21.84
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","06/2022",21.67
"CARNE BOVINA CHARQUE PA CRAY-O-VAC (500 g)","07/2022",21.75
"CARNE BOVINA CHARQUE PA MANTA (kg)","01/2018",28.31
"CARNE BOVINA CHARQUE PA MANTA (kg)","02/2018",28.55
"CARNE BOVINA CHARQUE PA MANTA (kg)","03/2018",28.95
"CARNE BOVINA CHARQUE PA MANTA (kg)","04/2018",37.48
"CARNE BOVINA CHARQUE PA MANTA (kg)","05/2018",36.56
"CARNE BOVINA CHARQUE PA MANTA (kg)","06/2018",30.11
"CARNE BOVINA CHARQUE PA MANTA (kg)","07/2018",32.12
"CARNE BOVINA PONTA DE AGULHA (kg)","01/2018",13.98
"CARNE BOVINA PONTA DE AGULHA (kg)","02/2018",15.99
"CARNE BOVINA PONTA DE AGULHA (kg)","03/2018",15.49
"CARNE BOVINA PONTA DE AGULHA (kg)","04/2018",17.19
"CARNE BOVINA PONTA DE AGULHA (kg)","06/2018",13.6
"CARNE BOVINA PONTA DE AGULHA (kg)","07/2018",15.53
"CARNE BOVINA PONTA DE AGULHA (kg)","08/2018",12.44
"CARNE BOVINA PONTA DE AGULHA (kg)","09/2018",13.45
"CARNE BOVINA PONTA DE AGULHA (kg)","10/2018",11.45
"CARNE BOVINA PONTA DE AGULHA (kg)","11/2018",12.49
"CARNE BOVINA PONTA DE AGULHA (kg)","12/2018",13.37
"CARNE BOVINA PONTA DE AGULHA (kg)","01/2019",13.89
"CARNE BOVINA PONTA DE AGULHA (kg)","02/2019",15.23
"CARNE BOVINA PONTA DE AGULHA (kg)","03/2019",14.79
"CARNE BOVINA PONTA DE AGULHA (kg)","04/2019",12.99
"CARNE BOVINA PONTA DE AGULHA (kg)","05/2019",13.9
"CARNE BOVINA PONTA DE AGULHA (kg)","07/2019",11.24
"CARNE BOVINA PONTA DE AGULHA (kg)","08/2019",13.99
"CARNE BOVINA PONTA DE AGULHA (kg)","09/2019",13.55
"CARNE BOVINA PONTA DE AGULHA (kg)","10/2019",12.25
"CARNE BOVINA PONTA DE AGULHA (kg)","11/2019",13.35
"CARNE BOVINA PONTA DE AGULHA (kg)","12/2019",11.85
"CARNE BOVINA PONTA DE AGULHA (kg)","01/2020",12.83
"CARNE BOVINA PONTA DE AGULHA (kg)","02/2020",14.63
"CARNE BOVINA PONTA DE AGULHA (kg)","03/2020",16.33
"CARNE BOVINA PONTA DE AGULHA (kg)","04/2020",16.05
"CARNE BOVINA PONTA DE AGULHA (kg)","05/2020",17.69
"CARNE BOVINA PONTA DE AGULHA (kg)","06/2020",18.13
"CARNE BOVINA PONTA DE AGULHA (kg)","07/2020",19.99
"CARNE BOVINA PONTA DE AGULHA (kg)","08/2020",19.99
"CARNE BOVINA PONTA DE AGULHA (kg)","09/2020",22.99
"CARNE BOVINA PONTA DE AGULHA (kg)","10/2020",22.99
"CARNE BOVINA PONTA DE AGULHA (kg)","11/2020",25.99
"CARNE BOVINA PONTA DE AGULHA (kg)","12/2020",25.8
"CARNE BOVINA PONTA DE AGULHA (kg)","01/2021",25.99
"CARNE BOVINA PONTA DE AGULHA (kg)","02/2021",25.17
"CARNE BOVINA PONTA DE AGULHA (kg)","03/2021",25.26
"CARNE BOVINA PONTA DE AGULHA (kg)","04/2021",26.09
"CARNE BOVINA PONTA DE AGULHA (kg)","05/2021",26.11
"CARNE BOVINA PONTA DE AGULHA (kg)","06/2021",28.94
"CARNE BOVINA PONTA DE AGULHA (kg)","07/2021",27.28
"CARNE BOVINA PONTA DE AGULHA (kg)","08/2021",24.2
"CARNE BOVINA PONTA DE AGULHA (kg)","09/2021",25.88
"CARNE BOVINA PONTA DE AGULHA (kg)","10/2021",25.48
"CARNE BOVINA PONTA DE AGULHA (kg)","11/2021",24.1
"CARNE BOVINA PONTA DE AGULHA (kg)","12/2021",24.22
"CARNE BOVINA PONTA DE AGULHA (kg)","01/2022",24.93
"CARNE BOVINA PONTA DE AGULHA (kg)","02/2022",24.65
"CARNE BOVINA PONTA DE AGULHA (kg)","03/2022",24.63
"CARNE BOVINA PONTA DE AGULHA (kg)","04/2022",24.48
"CARNE BOVINA PONTA DE AGULHA (kg)","05/2022",25.36
"CARNE BOVINA PONTA DE AGULHA (kg)","06/2022",25.26
"CARNE BOVINA PONTA DE AGULHA (kg)","07/2022",25.5
"CARNE DE FRANGO CONGELADO (kg)","01/2018",8.3
"CARNE DE FRANGO CONGELADO (kg)","02/2018",6.06
"CARNE DE FRANGO CONGELADO (kg)","03/2018",6.27
"CARNE DE FRANGO CONGELADO (kg)","06/2018",6.59
"CARNE DE FRANGO CONGELADO (kg)","07/2018",5.03
"CARNE DE FRANGO CONGELADO (kg)","08/2018",4.22
"CARNE DE FRANGO CONGELADO (kg)","09/2018",4.61
"CARNE DE FRANGO CONGELADO (kg)","10/2018",5.99
"CARNE DE FRANGO CONGELADO (kg)","11/2018",5.49
"CARNE DE FRANGO CONGELADO (kg)","12/2018",5.75
"CARNE DE FRANGO CONGELADO (kg)","01/2019",5.99
"CARNE DE FRANGO CONGELADO (kg)","02/2019",5.99
"CARNE DE FRANGO CONGELADO (kg)","03/2019",6.39
"CARNE DE FRANGO CONGELADO (kg)","04/2019",6.34
"CARNE DE FRANGO CONGELADO (kg)","05/2019",6.69
"CARNE DE FRANGO CONGELADO (kg)","06/2019",6.55
"CARNE DE FRANGO CONGELADO (kg)","07/2019",6.56
"CARNE DE FRANGO CONGELADO (kg)","08/2019",7.44
"CARNE DE FRANGO CONGELADO (kg)","09/2019",7.47
"CARNE DE FRANGO CONGELADO (kg)","10/2019",6.09
"CARNE DE FRANGO CONGELADO (kg)","11/2019",6.69
"CARNE DE FRANGO CONGELADO (kg)","12/2019",6.99
"CARNE DE FRANGO CONGELADO (kg)","01/2020",7.14
"CARNE DE FRANGO CONGELADO (kg)","02/2020",7.05
"CARNE DE FRANGO CONGELADO (kg)","03/2020",6.97
"CARNE DE FRANGO CONGELADO (kg)","04/2020",6.02
"CARNE DE FRANGO CONGELADO (kg)","05/2020",5.67
"CARNE DE FRANGO CONGELADO (kg)","06/2020",5.48
"CARNE DE FRANGO CONGELADO (kg)","07/2020",6.34
"CARNE DE FRANGO CONGELADO (kg)","08/2020",6.94
"CARNE DE FRANGO CONGELADO (kg)","09/2020",7.04
"CARNE DE FRANGO CONGELADO (kg)","10/2020",8.17
"CARNE DE FRANGO CONGELADO (kg)","11/2020",8.89
"CARNE DE FRANGO CONGELADO (kg)","12/2020",8.88
"CARNE DE FRANGO CONGELADO (kg)","01/2021",8.12
"CARNE DE FRANGO CONGELADO (kg)","02/2021",7.67
"CARNE DE FRANGO CONGELADO (kg)","03/2021",7.39
