"Produto/Unidade","Mês/Ano","Preço Médio"
"BORRACHA LATEX (kg)","04/2018",2.13
"BORRACHA LATEX (kg)","05/2018",2.17
"BORRACHA LATEX (kg)","06/2018",2.21
"BORRACHA LATEX (kg)","07/2018",2.21
"BORRACHA LATEX (kg)","08/2018",2.35
"BORRACHA LATEX (kg)","10/2018",2.52
"BORRACHA LATEX (kg)","11/2018",2.45
"BORRACHA LATEX (kg)","12/2018",2.29
"BORRACHA LATEX (kg)","01/2019",2.25
"BORRACHA LATEX (kg)","02/2019",2.16
"BORRACHA LATEX (kg)","03/2019",2.21
"BORRACHA LATEX (kg)","04/2019",2.28
"BORRACHA LATEX (kg)","05/2019",2.32
"BORRACHA LATEX (kg)","06/2019",2.57
"BORRACHA LATEX (kg)","07/2019",2.57
"BORRACHA LATEX (kg)","08/2019",2.44
"BORRACHA LATEX (kg)","09/2019",2.49
"BORRACHA LATEX (kg)","10/2019",2.35
"BORRACHA LATEX (kg)","11/2019",2.29
"BORRACHA LATEX (kg)","12/2019",2.34
"BORRACHA LATEX (kg)","01/2020",2.34
"BORRACHA LATEX (kg)","02/2020",2.65
"BORRACHA LATEX (kg)","03/2020",2.65
"BORRACHA LATEX (kg)","04/2020",2.52
"BORRACHA LATEX (kg)","05/2020",2.5
"BORRACHA LATEX (kg)","06/2020",2.27
"BORRACHA LATEX (kg)","07/2020",2.27
"BORRACHA LATEX (kg)","08/2020",2.32
"BORRACHA LATEX (kg)","09/2020",2.32
"BORRACHA LATEX (kg)","10/2020",2.37
"BORRACHA LATEX (kg)","11/2020",2.43
"BORRACHA LATEX (kg)","12/2020",3.7
"BORRACHA LATEX (kg)","01/2021",3.7
"BORRACHA LATEX (kg)","02/2021",3.66
"BORRACHA LATEX (kg)","03/2021",3.65
"BORRACHA LATEX (kg)","04/2021",4.08
"BORRACHA LATEX (kg)","05/2021",4.28
"BORRACHA LATEX (kg)","06/2021",4.18
"BORRACHA LATEX (kg)","07/2021",4.14
"BORRACHA LATEX (kg)","08/2021",3.95
"BORRACHA LATEX (kg)","09/2021",3.88
"BORRACHA LATEX (kg)","10/2021",3.91
"BORRACHA LATEX (kg)","11/2021",3.92
"BORRACHA LATEX (kg)","12/2021",4.34
"BORRACHA LATEX (kg)","01/2022",4.4
"BORRACHA LATEX (kg)","02/2022",4.92
"BORRACHA LATEX (kg)","03/2022",4.95
"BORRACHA LATEX (kg)","04/2022",4.81
"BORRACHA LATEX (kg)","05/2022",4.8
