MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"10","2020","RR","ETANOL",3.42,3.5483333333333333,3.74
"12","2020","PR","ETANOL",2.94,3.1772037037037038,3.59
"09","2018","TO","ETANOL",3.33,3.674220689655173,4.1
"08","2016","PR","GASOLINA",3.18,3.650461020751542,4.07
"06","2016","RR","GASOLINA",3.84,3.8800000000000003,3.92
"10","2020","SE","GNV",2.75,2.771,2.779
"10","2020","RS","ETANOL",3.79,3.9408888888888893,4.299
"12","2019","MA","DIESEL",3.499,3.800842657342657,4.099
"05","2016","RJ","ETANOL",2.399,3.166848663101604,3.89
"09","2018","SC","DIESEL S10",3.05,3.562585220500596,4.928
"05","2016","RN","ETANOL",2.99,3.2783419117647057,3.559
"01","2020","PA","GNV",4.599,4.599,4.599
"04","2016","RO","DIESEL S10",3.2,3.4136171171171172,3.63
"02","2016","TO","DIESEL S10",2.989,3.1702131147540986,3.79
"07","2018","ES","ETANOL",3.18,3.5772229965156797,3.99
"05","2016","AL","ETANOL",2.9,3.3408821428571427,3.799
"06","2017","ES","GASOLINA",3.19,3.6432272727272728,3.99
"07","2016","AP","GASOLINA",3.49,3.6687499999999997,3.99
"10","2019","PB","DIESEL",3.499,3.6910916666666664,3.949
"07","2017","RR","DIESEL S10",2.85,3.0946470588235293,3.25
"09","2017","PR","DIESEL S10",2.75,3.1145824915824916,3.799
"04","2016","AM","DIESEL S10",2.99,3.3863065693430654,3.85
"07","2017","AP","DIESEL S10",3.69,3.9669565217391303,4.05
"08","2017","RR","ETANOL",3.6,3.75375,4.02
"07","2016","RR","GASOLINA",3.84,3.879722222222222,3.93
"09","2016","PR","GASOLINA",3.18,3.671041724617524,4.07
"10","2019","CE","GNV",3.58,3.6694148936170214,3.799
"01","2020","PB","GNV",3.589,3.6910588235294117,3.999
"11","2020","SE","GNV",3.129,3.129125,3.13
"10","2019","PA","DIESEL",3.6,4.041596610169491,4.619
"07","2017","RS","DIESEL S10",2.559,3.0239924623115577,3.599
"03","2016","SP","DIESEL S10",2.649,3.072140070921986,3.959
"08","2017","RS","ETANOL",2.89,3.599913306451613,4.444
"08","2017","RO","ETANOL",2.89,3.3726607142857143,3.89
"06","2017","TO","ETANOL",2.99,3.3144430379746836,3.55
"03","2017","ES","DIESEL S10",2.89,3.2178649999999998,3.49
"04","2016","SP","ETANOL",1.859,2.5805835362142426,3.399
"04","2016","AP","DIESEL S10",3.89,4.0400909090909085,4.098
"07","2016","RO","GASOLINA",3.59,3.932850187265917,4.34
"05","2016","TO","GASOLINA",3.6,3.9091139896373055,4.069
"11","2020","ES","GASOLINA ADITIVADA",3.95,4.434664670658683,4.999
"12","2018","MT","ETANOL",2.377,2.802403453689168,3.359
"02","2019","MT","ETANOL",2.269,2.5963562500000004,3.289
"01","2018","MT","GASOLINA",3.799,4.240067294751009,4.93
"11","2017","MT","GASOLINA",3.759,4.051206989247312,4.599
"02","2020","MS","ETANOL",3.37,3.7013805309734513,4.169
"11","2020","BA","GNV",2.449,2.8769056603773584,3.4
"07","2017","SP","ETANOL",1.699,2.2535422638198304,3.449
"05","2016","RO","ETANOL",3.29,3.5413405405405407,3.97
"03","2016","TO","ETANOL",3.15,3.345336734693878,3.59
"07","2016","MT","DIESEL",3.07,3.319912225705329,3.599
"06","2016","SP","GASOLINA",3.049,3.5100850974930364,3.999
"11","2020","SC","GNV",2.74,2.8604375,2.999
"12","2016","GO","ETANOL",2.55,2.9298597285067873,3.249
"02","2017","GO","ETANOL",2.57,2.920366013071895,3.32
"05","2016","AM","ETANOL",2.99,3.4122857142857144,3.85
"04","2016","RR","DIESEL S10",3.3,3.353291666666667,3.42
"06","2016","PR","DIESEL S10",2.69,2.979211691762622,3.49
"11","2019","SE","GNV",3.68,3.7244666666666664,3.799
"02","2020","MT","ETANOL",2.69,3.1739858712715856,3.69
"01","2016","GO","GASOLINA",3.419,3.7434826762246116,3.99
"11","2018","PB","GNV",2.75,3.607928571428572,3.779
"01","2019","PB","GNV",3.399,3.716864864864865,3.74
"07","2016","PR","ETANOL",2.15,2.5272914364640884,2.89
"05","2016","RR","ETANOL",3.65,3.714444444444444,3.79
"09","2017","SP","GASOLINA",3.099,3.6814728592162558,4.099
"07","2016","MS","DIESEL",3.077,3.2936113537117904,3.5
"02","2016","RS","DIESEL",2.69,2.9466589303733604,3.428
"09","2016","MS","DIESEL S10",3.2,3.4175785714285714,3.89
"04","2016","RS","DIESEL S10",2.77,3.140872549019608,3.65
"05","2016","AP","ETANOL",3.59,3.7039999999999997,4.03
"04","2017","GO","GASOLINA",3.44,3.76410119047619,4.15
"07","2016","AL","GASOLINA",3.379,3.7952822580645162,4.142
