UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;PLACIDO DE CASTRO;CAMINHAO TRATOR;13
AC;PLACIDO DE CASTRO;CAMINHONETE;589
AC;PLACIDO DE CASTRO;CAMIONETA;50
AC;PLACIDO DE CASTRO;CHASSI PLATAF;0
AC;PLACIDO DE CASTRO;CICLOMOTOR;8
AC;PLACIDO DE CASTRO;MICRO-ONIBUS;7
AC;PLACIDO DE CASTRO;MOTOCICLETA;2522
AC;PLACIDO DE CASTRO;MOTONETA;441
AC;PLACIDO DE CASTRO;ONIBUS;31
AC;PLACIDO DE CASTRO;QUADRICICLO;0
AC;PLACIDO DE CASTRO;REBOQUE;62
AC;PLACIDO DE CASTRO;SEMI-REBOQUE;15
AC;PLACIDO DE CASTRO;SIDE-CAR;3
AC;PLACIDO DE CASTRO;OUTROS;27
AC;PLACIDO DE CASTRO;TRATOR ESTEI;0
AC;PLACIDO DE CASTRO;TRATOR RODAS;0
AC;PLACIDO DE CASTRO;TRICICLO;5
AC;PLACIDO DE CASTRO;UTILITARIO;8
AC;PORTO ACRE;AUTOMOVEL;965
AC;PORTO ACRE;BONDE;0
AC;PORTO ACRE;CAMINHAO;173
AC;PORTO ACRE;CAMINHAO TRATOR;7
AC;PORTO ACRE;CAMINHONETE;510
AC;PORTO ACRE;CAMIONETA;45
AC;PORTO ACRE;CHASSI PLATAF;0
AC;PORTO ACRE;CICLOMOTOR;10
AC;PORTO ACRE;MICRO-ONIBUS;3
AC;PORTO ACRE;MOTOCICLETA;2391
AC;PORTO ACRE;MOTONETA;171
AC;PORTO ACRE;ONIBUS;42
AC;PORTO ACRE;QUADRICICLO;0
AC;PORTO ACRE;REBOQUE;21
AC;PORTO ACRE;SEMI-REBOQUE;10
AC;PORTO ACRE;SIDE-CAR;0
AC;PORTO ACRE;OUTROS;19
AC;PORTO ACRE;TRATOR ESTEI;0
AC;PORTO ACRE;TRATOR RODAS;0
AC;PORTO ACRE;TRICICLO;0
AC;PORTO ACRE;UTILITARIO;8
AC;PORTO WALTER;AUTOMOVEL;8
AC;PORTO WALTER;BONDE;0
AC;PORTO WALTER;CAMINHAO;9
AC;PORTO WALTER;CAMINHAO TRATOR;0
AC;PORTO WALTER;CAMINHONETE;45
AC;PORTO WALTER;CAMIONETA;0
AC;PORTO WALTER;CHASSI PLATAF;0
AC;PORTO WALTER;CICLOMOTOR;0
AC;PORTO WALTER;MICRO-ONIBUS;0
AC;PORTO WALTER;MOTOCICLETA;266
AC;PORTO WALTER;MOTONETA;63
AC;PORTO WALTER;ONIBUS;5
AC;PORTO WALTER;QUADRICICLO;0
AC;PORTO WALTER;REBOQUE;0
AC;PORTO WALTER;SEMI-REBOQUE;0
AC;PORTO WALTER;SIDE-CAR;0
AC;PORTO WALTER;OUTROS;0
AC;PORTO WALTER;TRATOR ESTEI;0
AC;PORTO WALTER;TRATOR RODAS;0
AC;PORTO WALTER;TRICICLO;0
AC;PORTO WALTER;UTILITARIO;1
AC;RIO BRANCO;AUTOMOVEL;73829
AC;RIO BRANCO;BONDE;0
AC;RIO BRANCO;CAMINHAO;4565
AC;RIO BRANCO;CAMINHAO TRATOR;598
AC;RIO BRANCO;CAMINHONETE;18721
AC;RIO BRANCO;CAMIONETA;3748
AC;RIO BRANCO;CHASSI PLATAF;8
AC;RIO BRANCO;CICLOMOTOR;657
AC;RIO BRANCO;MICRO-ONIBUS;285
AC;RIO BRANCO;MOTOCICLETA;79211
AC;RIO BRANCO;MOTONETA;15658
AC;RIO BRANCO;ONIBUS;999
AC;RIO BRANCO;QUADRICICLO;0
AC;RIO BRANCO;REBOQUE;2481
AC;RIO BRANCO;SEMI-REBOQUE;984
AC;RIO BRANCO;SIDE-CAR;55
AC;RIO BRANCO;OUTROS;1027
AC;RIO BRANCO;TRATOR ESTEI;0
AC;RIO BRANCO;TRATOR RODAS;4
AC;RIO BRANCO;TRICICLO;135
AC;RIO BRANCO;UTILITARIO;1371
AC;RODRIGUES ALVES;AUTOMOVEL;249
AC;RODRIGUES ALVES;BONDE;0
AC;RODRIGUES ALVES;CAMINHAO;25
AC;RODRIGUES ALVES;CAMINHAO TRATOR;1
AC;RODRIGUES ALVES;CAMINHONETE;127
AC;RODRIGUES ALVES;CAMIONETA;4
AC;RODRIGUES ALVES;CHASSI PLATAF;0
AC;RODRIGUES ALVES;CICLOMOTOR;2
AC;RODRIGUES ALVES;MICRO-ONIBUS;1
AC;RODRIGUES ALVES;MOTOCICLETA;1116
AC;RODRIGUES ALVES;MOTONETA;349
AC;RODRIGUES ALVES;ONIBUS;11
AC;RODRIGUES ALVES;QUADRICICLO;0
AC;RODRIGUES ALVES;REBOQUE;0
AC;RODRIGUES ALVES;SEMI-REBOQUE;0
AC;RODRIGUES ALVES;SIDE-CAR;0
AC;RODRIGUES ALVES;OUTROS;0
AC;RODRIGUES ALVES;TRATOR ESTEI;0
AC;RODRIGUES ALVES;TRATOR RODAS;0
AC;RODRIGUES ALVES;TRICICLO;0
AC;RODRIGUES ALVES;UTILITARIO;3
